"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.441825000E0,-1.390608215E-1,-1.269210663E0,9.803264008E0,9.886061846E0
2.451749000E0,-1.466949463E-1,-1.271755371E0,9.798174591E0,9.881452649E0
2.461672000E0,-1.450483704E-1,-1.274300079E0,9.789642334E0,9.873296144E0
2.471595000E0,-1.499880981E-1,-1.279239807E0,9.798623657E0,9.882913360E0
2.481518000E0,-1.622625732E-1,-1.284778290E0,9.807155914E0,9.892284444E0
2.491441000E0,-1.710942078E-1,-1.303339691E0,9.800419922E0,9.888184779E0
2.501364000E0,-1.860630798E-1,-1.315015411E0,9.795031128E0,9.884660834E0
2.511288000E0,-1.794767761E-1,-1.329984283E0,9.802515564E0,9.893956817E0
2.521211000E0,-1.802252197E-1,-1.341510315E0,9.798623657E0,9.891671074E0
2.531134000E0,-1.682501221E-1,-1.328188019E0,9.802216187E0,9.893221603E0
2.541057000E0,-1.597178650E-1,-1.316212921E0,9.796078949E0,9.885397768E0
2.550980000E0,-1.706451416E-1,-1.334774323E0,9.815837860E0,9.907644279E0
2.560903000E0,-1.724414062E-1,-1.371148682E0,9.813442841E0,9.910269680E0
2.570827000E0,-1.678010559E-1,-1.396296387E0,9.811496887E0,9.911774410E0
2.580750000E0,-1.725910950E-1,-1.401086426E0,9.815239105E0,9.916236663E0
2.590673000E0,-1.773811340E-1,-1.412013702E0,9.804611206E0,9.907353212E0
2.600596000E0,-1.773811340E-1,-1.412762146E0,9.803413696E0,9.906274832E0
2.610519000E0,-1.818717957E-1,-1.398541718E0,9.794582062E0,9.895596700E0
2.620443000E0,-1.814227295E-1,-1.395248566E0,9.790390778E0,9.890974894E0
2.630366000E0,-1.724414062E-1,-1.402733002E0,9.799072723E0,9.900465754E0
2.640289000E0,-1.725910950E-1,-1.403182068E0,9.801318054E0,9.902754324E0
2.650212000E0,-1.779798889E-1,-1.406475220E0,9.790091400E0,9.892205973E0
2.660135000E0,-1.796264648E-1,-1.415456543E0,9.788744202E0,9.892183578E0
2.670058000E0,-1.742376709E-1,-1.421593781E0,9.786798248E0,9.891041785E0
2.679982000E0,-1.757345581E-1,-1.428180084E0,9.791737976E0,9.896904242E0
2.689905000E0,-1.748364258E-1,-1.419348450E0,9.787247314E0,9.891174237E0
2.699828000E0,-1.558259583E-1,-1.395997009E0,9.790690155E0,9.890940455E0
2.709751000E0,-1.577719116E-1,-1.375789032E0,9.788444824E0,9.885916220E0
2.719674000E0,-1.435514832E-1,-1.354533234E0,9.785900116E0,9.880243337E0
2.729597000E0,-1.398092651E-1,-1.340911560E0,9.788444824E0,9.880852317E0
2.739521000E0,-1.362167358E-1,-1.328038330E0,9.786947937E0,9.877580206E0
2.749444000E0,-1.392105103E-1,-1.337917786E0,9.776469727E0,9.868574562E0
2.759367000E0,-1.296304321E-1,-1.332229614E0,9.784403229E0,9.875534737E0
2.769290000E0,-1.103205872E-1,-1.320404205E0,9.794881439E0,9.884095321E0
2.779213000E0,-1.234931946E-1,-1.305734711E0,9.771829376E0,9.859454501E0
2.789136750E0,-1.284329224E-1,-1.292711792E0,9.783505096E0,9.869375399E0
2.799059750E0,-1.197509766E-1,-1.276695099E0,9.786947937E0,9.870594744E0
2.808982750E0,-1.291813660E-1,-1.269659729E0,9.778116302E0,9.861048731E0
2.818905750E0,-1.413061523E-1,-1.291514282E0,9.778715057E0,9.864646205E0
2.828828750E0,-1.291813660E-1,-1.310225372E0,9.780211945E0,9.868430677E0
2.838751750E0,-1.383123779E-1,-1.329834595E0,9.777667236E0,9.868655782E0
2.848675750E0,-1.094224548E-1,-1.334325256E0,9.777517548E0,9.868751013E0
2.858598750E0,-9.954299927E-2,-1.322649536E0,9.790091400E0,9.879534413E0
2.868521750E0,-9.460327148E-2,-1.322200470E0,9.793534241E0,9.882837487E0
2.878444750E0,-9.550140381E-2,-1.322499847E0,9.788594513E0,9.877991137E0
2.888367750E0,-1.062789917E-1,-1.310524750E0,9.786049805E0,9.873983043E0
2.898290750E0,-1.134640503E-1,-1.308728485E0,9.798773346E0,9.886435324E0
2.908214750E0,-1.031355286E-1,-1.301393738E0,9.793833618E0,9.880457456E0
2.918137750E0,-1.020877075E-1,-1.293160858E0,9.796228638E0,9.881739848E0
2.928060750E0,-1.134640503E-1,-1.280886383E0,9.790989532E0,9.875070635E0
2.937983750E0,-1.242416382E-1,-1.272952881E0,9.817933502E0,9.900892044E0
2.947906750E0,-1.234931946E-1,-1.265318756E0,9.808652802E0,9.890700274E0
2.957830750E0,-1.167572021E-1,-1.271455994E0,9.814191284E0,9.896897653E0
