"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.725278583E0,-4.352798309E0,5.830375671E-1,9.702074432E0,1.064974339E1
1.735201583E0,-4.008214874E0,6.048921204E-1,9.992769928E0,1.078365113E1
1.745124583E0,-4.068090363E0,7.053332520E-1,9.856403503E0,1.068623153E1
1.755047583E0,-4.494852905E0,3.625460815E-1,9.547895050E0,1.055923492E1
1.764970583E0,-3.915707245E0,8.945397949E-1,9.917476501E0,1.069996752E1
1.774893583E0,-4.132306824E0,4.628375244E-1,9.836195526E0,1.067899437E1
1.784816583E0,-4.070186005E0,7.494914246E-1,9.742490387E0,1.058509662E1
1.794739583E0,-3.993395691E0,5.236111450E-1,1.003243744E1,1.081069742E1
1.804662583E0,-4.114344177E0,8.189469910E-1,9.764644318E0,1.062764230E1
1.814585583E0,-3.792064362E0,8.276289368E-1,9.617350616E0,1.037102476E1
1.824508583E0,-4.149670715E0,7.828720093E-1,9.621990967E0,1.050787161E1
1.834431583E0,-3.762126617E0,1.005010071E0,9.419312439E0,1.019250159E1
1.844354583E0,-3.536545715E0,9.906399536E-1,9.376202087E0,1.006984055E1
1.854277583E0,-3.116968231E0,1.448088684E0,9.258397064E0,9.875746452E0
1.864200583E0,-3.210074615E0,1.668280792E0,9.070088654E0,9.764949975E0
1.874123583E0,-3.195554810E0,7.867639160E-1,9.445957031E0,1.000283321E1
1.884046583E0,-3.605252838E0,8.307723999E-1,9.694140930E0,1.037614568E1
1.893969583E0,-4.139192505E0,5.918692017E-1,9.635762329E0,1.050386307E1
1.903892583E0,-3.197201385E0,4.246669006E-1,9.848919067E0,1.036357301E1
1.913815583E0,-3.853287048E0,4.963677979E-1,9.914033661E0,1.064811089E1
1.923738583E0,-3.473526764E0,4.279600525E-1,9.860894165E0,1.046354489E1
1.933661583E0,-3.822750549E0,2.296224976E-1,9.666897583E0,1.039783906E1
1.943584583E0,-3.632945251E0,5.614823914E-1,9.994416504E0,1.064903352E1
1.953507583E0,-3.606001282E0,1.187031555E-1,9.951006775E0,1.058488883E1
1.963430583E0,-3.875740356E0,5.960604858E-1,9.793983307E0,1.054982277E1
1.973353583E0,-3.423830109E0,-6.870712280E-2,9.932894440E0,1.050665148E1
1.983276583E0,-3.945345612E0,3.775149536E-1,9.874366150E0,1.064008348E1
1.993199583E0,-3.362757111E0,3.257226562E-1,9.898615723E0,1.045929366E1
2.003121583E0,-3.869303741E0,5.448669434E-2,9.793384552E0,1.053018809E1
2.013044583E0,-3.518732758E0,2.739303589E-1,1.007180557E1,1.067229055E1
2.022967583E0,-3.768712921E0,5.718109131E-2,9.778864746E0,1.048010794E1
2.032890583E0,-3.572471008E0,2.107617188E-1,9.851463776E0,1.048133141E1
2.042813583E0,-3.512296143E0,1.405577087E-1,1.006012985E1,1.065655635E1
2.052736583E0,-3.739673309E0,-2.956352234E-1,9.649533691E0,1.035306994E1
2.062659583E0,-3.406615906E0,1.892065430E-1,9.739795990E0,1.032009966E1
2.072582583E0,-3.514541473E0,1.718426514E-1,9.985285492E0,1.058713644E1
2.082505583E0,-3.626957703E0,-4.448748779E-1,9.501790924E0,1.018021447E1
2.092428583E0,-3.684288483E0,-2.101629639E-1,9.159602509E0,9.875042694E0
2.102351583E0,-2.476899261E0,-5.542973328E-1,9.284143524E0,9.624842672E0
2.112274583E0,-3.053200836E0,-1.415905609E0,8.641679535E0,9.273912293E0
2.122197583E0,-3.131188660E0,-1.268162842E0,8.954528961E0,9.570588714E0
2.132120583E0,-3.662134552E0,-5.081932068E-1,9.477990417E0,1.017358305E1
2.142043583E0,-3.589086456E0,9.684860229E-2,9.620194702E0,1.026835271E1
2.151966583E0,-4.014052734E0,-5.382806396E-1,9.651030579E0,1.046636310E1
2.161889583E0,-3.826343079E0,-3.302133179E-1,9.711205444E0,1.044305766E1
2.171812583E0,-3.659140778E0,6.436614990E-3,9.773775330E0,1.043628463E1
2.181735583E0,-4.029171295E0,-3.056643677E-1,9.876162415E0,1.067081234E1
2.191658583E0,-4.041745148E0,-2.586621094E-1,9.954748993E0,1.074707576E1
2.201581583E0,-3.873644714E0,-1.416055298E-1,9.985435181E0,1.071140006E1
2.211504583E0,-4.095333710E0,-1.154100037E-1,9.940977631E0,1.075212137E1
2.221427583E0,-4.206552429E0,-2.420466614E-1,1.001267853E1,1.086312115E1
2.231350583E0,-4.155358887E0,-1.107696533E-1,1.006581802E1,1.089036133E1
2.241273583E0,-4.063599701E0,-3.248245239E-2,1.013168106E1,1.091626579E1
2.251196583E0,-4.191733246E0,-1.505868530E-1,1.010428802E1,1.094028978E1
2.261119583E0,-4.136498108E0,-8.786727905E-2,9.994266815E0,1.081682515E1
2.271042583E0,-4.433330841E0,2.634521484E-2,1.005758514E1,1.099136640E1
2.280965333E0,-4.120631104E0,-7.035369873E-2,1.023047562E1,1.102937812E1
2.290888333E0,-4.180207214E0,-1.537303162E-1,1.004037094E1,1.087689358E1
2.300811333E0,-4.420457611E0,1.450483704E-1,1.012793884E1,1.105154422E1
2.310734333E0,-4.167633362E0,-1.652563477E-1,1.035516632E1,1.116359920E1
