"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.459082625E0,-2.487630583E-2,9.954244830E-3,-1.099243045E0,1.099569547E0
2.469005625E0,-2.159049734E-2,2.022765577E-2,-1.119995952E0,1.120386647E0
2.478928625E0,-2.099427395E-2,3.048897907E-2,-1.139306784E0,1.139908016E0
2.488850625E0,-1.231583022E-2,3.832080215E-2,-1.159420848E0,1.160119333E0
2.498773625E0,-1.083181705E-2,4.799348488E-2,-1.179931283E0,1.180956619E0
2.508695625E0,-5.914556794E-3,5.412328616E-2,-1.201910615E0,1.203143150E0
2.518618625E0,1.099243411E-3,6.100524589E-2,-1.221416950E0,1.222939988E0
2.528541625E0,6.819260307E-4,6.939925998E-2,-1.243318439E0,1.245253975E0
2.538463625E0,4.168437794E-3,7.358592749E-2,-1.263388634E0,1.265536686E0
2.548386625E0,7.404976990E-3,7.887336612E-2,-1.282929778E0,1.285373353E0
2.558308625E0,2.529220423E-3,7.617907226E-2,-1.302896261E0,1.305123870E0
2.568231625E0,-1.500982605E-2,5.903656781E-2,-1.324626923E0,1.326026808E0
2.578154625E0,-3.485458344E-2,3.358065337E-2,-1.341531754E0,1.342404540E0
2.588076625E0,-4.963486269E-2,7.550652139E-3,-1.363111019E0,1.364035294E0
2.597999625E0,-6.466601044E-2,-8.508210070E-3,-1.384995341E0,1.386530266E0
2.607921625E0,-5.728612468E-2,-1.344677620E-2,-1.408888936E0,1.410117211E0
2.617844625E0,-5.050708726E-2,-1.147308666E-2,-1.428995371E0,1.429933693E0
2.627767625E0,-4.232559353E-2,-5.765399896E-3,-1.448366165E0,1.448995943E0
2.637689625E0,-3.913388774E-2,3.243393265E-3,-1.471146584E0,1.471670565E0
2.647612625E0,-2.608972602E-2,3.748861142E-3,-1.489145756E0,1.489379001E0
2.657534625E0,-2.261498384E-2,1.017267536E-2,-1.512584805E0,1.512788060E0
2.667457625E0,-1.063581835E-2,1.513041463E-2,-1.538459063E0,1.538570225E0
2.677381375E0,-8.870304446E-4,2.334959060E-2,-1.557418466E0,1.557593743E0
2.687303375E0,7.027351763E-3,2.443482727E-2,-1.580951214E0,1.581155649E0
2.697226375E0,1.248015277E-2,2.540808916E-2,-1.599413753E0,1.599664239E0
2.707148375E0,2.157671191E-2,1.749929786E-2,-1.618384719E0,1.618623143E0
2.717071375E0,3.391679749E-2,5.794010125E-3,-1.640902996E0,1.641263709E0
2.726993375E0,4.224849492E-2,-9.137535468E-3,-1.660771012E0,1.661333436E0
2.736916375E0,4.922017083E-2,-2.294159122E-2,-1.677865028E0,1.678743576E0
2.746839375E0,5.632681772E-2,-3.010283038E-2,-1.700418234E0,1.701617190E0
2.756761375E0,6.482228637E-2,-3.522162139E-2,-1.719719291E0,1.721300941E0
2.766684375E0,7.173904777E-2,-3.096402436E-2,-1.742382169E0,1.744133276E0
2.776606375E0,7.769541442E-2,-3.296309710E-2,-1.764540195E0,1.766557456E0
2.786529375E0,8.032049239E-2,-2.416534536E-2,-1.786637306E0,1.788605102E0
2.796452375E0,8.626570553E-2,-1.487309393E-2,-1.808712363E0,1.810829477E0
2.806374375E0,1.019693017E-1,-1.860045455E-2,-1.831222773E0,1.834153908E0
2.816297375E0,9.929203242E-2,-1.131704636E-2,-1.849423170E0,1.852121229E0
2.826219375E0,1.014222950E-1,-1.881704107E-2,-1.871837139E0,1.874677262E0
2.836142375E0,8.651248366E-2,-3.045380116E-2,-1.890692234E0,1.892915468E0
2.846065375E0,7.964925468E-2,-4.712678865E-2,-1.912133574E0,1.914371893E0
2.855987375E0,6.565066427E-2,-6.393755972E-2,-1.932220221E0,1.934392153E0
2.865910375E0,5.164749920E-2,-6.861433387E-2,-1.949813247E0,1.951703637E0
2.875832375E0,4.768024012E-2,-6.344496459E-2,-1.968570352E0,1.970169510E0
2.885755375E0,4.640271887E-2,-6.107021868E-2,-1.982887268E0,1.984370102E0
2.895678375E0,4.133741185E-2,-5.521807075E-2,-1.999848962E0,2.001038152E0
2.905600375E0,3.522519022E-2,-5.374401063E-2,-2.009905100E0,2.010932058E0
2.915523375E0,3.405388072E-2,-4.959018528E-2,-2.019281626E0,2.020177501E0
2.925445375E0,2.708811313E-2,-5.229622498E-2,-2.023471594E0,2.024328519E0
2.935368375E0,3.074883297E-2,-5.392963812E-2,-2.025012970E0,2.025964320E0
2.945291375E0,2.557564154E-2,-6.196306273E-2,-2.029057026E0,2.030164020E0
2.955213375E0,2.343108319E-2,-6.672856957E-2,-2.025942326E0,2.027176367E0
2.965136375E0,2.516213804E-2,-6.953980029E-2,-2.027913570E0,2.029261532E0
2.975058375E0,2.272916585E-2,-7.488887012E-2,-2.027305603E0,2.028815656E0
2.984981375E0,2.009769715E-2,-7.398286462E-2,-2.026790380E0,2.028239786E0
2.994903375E0,2.266085707E-2,-7.562775910E-2,-2.028468132E0,2.030003950E0
3.004826375E0,2.095377073E-2,-7.594254613E-2,-2.027810097E0,2.029339824E0
3.014749375E0,2.230911329E-2,-7.931987196E-2,-2.025885582E0,2.027560537E0
3.024671375E0,2.108539082E-2,-8.037608117E-2,-2.025204182E0,2.026908208E0
3.034594375E0,2.044116147E-2,-8.041621745E-2,-2.025784969E0,2.027483502E0
3.044516375E0,2.170669474E-2,-7.934430242E-2,-2.024184704E0,2.025855477E0
