"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.000681770E2,5.147943724E1,5.675947522E0,1.869074545E1,6.300659147E1,9.665518458E0,1.529479828E2,7.788986697E-1,4.744336824E0,3.363897313E0,-1.000000000E0
1.010681903E2,5.147934956E1,5.676010583E0,1.840265534E1,6.271879231E1,1.020892954E1,1.529479828E2,7.895580772E-1,4.742894584E0,3.365930480E0,-1.000000000E0
1.020682030E2,5.147926693E1,5.676088623E0,1.813200472E1,6.244842374E1,1.048247116E1,1.537521057E2,7.994791719E-1,4.743890630E0,3.364526523E0,-1.000000000E0
1.030682156E2,5.147918354E1,5.676139555E0,1.803247955E1,6.234917150E1,1.016693619E1,1.557791595E2,8.109936860E-1,4.744853583E0,3.363168373E0,-1.000000000E0
1.040682280E2,5.147908980E1,5.676210214E0,1.885463008E1,6.317163447E1,1.080334831E1,1.557791595E2,8.221231486E-1,4.745401866E0,3.362394706E0,-1.000000000E0
1.050682406E2,5.147899903E1,5.676277923E0,1.866036898E1,6.297767563E1,1.099609077E1,1.557791595E2,8.331013275E-1,4.746847947E0,3.360352898E0,-1.000000000E0
1.060682548E2,5.147891154E1,5.676351385E0,1.858069196E1,6.289829340E1,1.103988759E1,1.548895874E2,8.439184611E-1,4.747278074E0,3.359745217E0,-1.000000000E0
1.070682671E2,5.147882051E1,5.676406460E0,1.883717874E1,6.315507791E1,1.089799633E1,1.548895874E2,8.542230847E-1,4.745080335E0,3.362848443E0,-1.000000000E0
1.080682801E2,5.147874238E1,5.676486476E0,1.821299130E1,6.253115982E1,1.031185091E1,1.548895874E2,8.628507181E-1,4.746435388E0,3.360935605E0,-1.000000000E0
1.090682931E2,5.147867043E1,5.676533123E0,1.817102545E1,6.248943059E1,9.277255347E0,1.557154694E2,8.709305503E-1,4.745522522E0,3.362224416E0,-1.000000000E0
1.100683060E2,5.147859881E1,5.676552792E0,1.909237519E1,6.341100461E1,8.458235365E0,1.642522278E2,8.799374603E-1,4.747272098E0,3.359753660E0,-1.000000000E0
1.110683191E2,5.147851784E1,5.676556370E0,1.890230247E1,6.322117757E1,9.026643078E0,1.783272095E2,8.874965439E-1,4.746533309E0,3.360797313E0,-1.000000000E0
1.120683317E2,5.147844994E1,5.676561806E0,1.945546285E1,6.377454499E1,7.899790835E0,1.766973877E2,8.934189290E-1,4.747730974E0,3.359105183E0,-1.000000000E0
1.130683446E2,5.147839677E1,5.676566719E0,1.876992858E1,6.308917313E1,6.532863571E0,1.766973877E2,9.004565004E-1,4.741347359E0,3.368109596E0,-1.000000000E0
1.140683577E2,5.147833358E1,5.676572629E0,1.815432995E1,6.247376753E1,6.905105015E0,1.768007507E2,9.061189650E-1,4.741523311E0,3.367861892E0,-1.000000000E0
1.150683706E2,5.147828274E1,5.676568120E0,1.791498286E1,6.223457187E1,6.715295553E0,1.768007507E2,9.124539375E-1,4.744167823E0,3.364135654E0,-1.000000000E0
1.160683835E2,5.147822630E1,5.676555562E0,1.834353858E1,6.266329247E1,6.843250003E0,1.768007507E2,9.178189847E-1,4.738446653E0,3.372189251E0,-1.000000000E0
1.170683967E2,5.147817813E1,5.676559874E0,1.806033825E1,6.238023923E1,6.234410798E0,1.768007507E2,9.204839190E-1,4.740726280E0,3.368983730E0,-1.000000000E0
1.180684097E2,5.147815574E1,5.676546154E0,1.784806960E1,6.216803231E1,5.594664997E0,2.294383843E2,9.367283583E-1,1.030731495E1,3.366467080E0,-1.000000000E0
1.190684228E2,5.147813516E1,5.676313928E0,1.821374191E1,6.253366870E1,5.961490184E0,2.476589950E2,9.439917837E-1,4.745786919E0,3.361851210E0,-1.000000000E0
1.200684358E2,5.147814021E1,5.676209360E0,1.802360888E1,6.234347634E1,6.537711170E0,2.621062316E2,9.508904347E-1,4.750455636E0,3.355250853E0,-1.000000000E0
1.210684481E2,5.147813487E1,5.676110116E0,1.819744832E1,6.251729001E1,6.797279258E0,2.629620004E2,9.587681606E-1,4.755115845E0,3.348643058E0,-1.000000000E0
1.220684609E2,5.147812297E1,5.675997979E0,1.860768829E1,6.292751855E1,7.323739003E0,2.619948580E2,9.673708762E-1,4.757017860E0,3.345940543E0,-1.000000000E0
1.230684750E2,5.147812127E1,5.675873789E0,1.899448447E1,6.331426747E1,7.949455586E0,2.667289080E2,9.764949116E-1,4.754247482E0,3.349875805E0,-1.000000000E0
1.240684876E2,5.147812609E1,5.675742269E0,1.898883157E1,6.330854456E1,8.557820820E0,2.717462902E2,9.856745148E-1,4.761944258E0,3.338925563E0,-1.000000000E0
1.250685010E2,5.147814691E1,5.675614001E0,1.933920069E1,6.365879680E1,8.786906443E0,2.779899166E2,9.945432777E-1,4.761808280E0,3.339119486E0,-1.000000000E0
1.260685140E2,5.147815603E1,5.675486780E0,1.898498569E1,6.330450062E1,8.791064892E0,2.745633654E2,1.004249855E0,4.756892945E0,3.346118131E0,-1.000000000E0
1.270685266E2,5.147815364E1,5.675346673E0,1.911528846E1,6.343475149E1,9.309217176E0,2.680841620E2,1.014352894E0,4.757849094E0,3.344758441E0,-1.000000000E0
1.280685399E2,5.147813140E1,5.675205226E0,1.855149586E1,6.287096627E1,9.736556446E0,2.597228241E2,1.024730603E0,4.757948116E0,3.344617581E0,-1.000000000E0
1.290685527E2,5.147811937E1,5.675056624E0,1.875409927E1,6.307354325E1,1.007493811E1,2.622247798E2,1.034032294E0,4.757528415E0,3.345214554E0,-1.000000000E0
1.300685658E2,5.147811011E1,5.674923136E0,1.905622361E1,6.337563920E1,9.564638217E0,2.643961750E2,1.043611674E0,4.757069143E0,3.345867630E0,-1.000000000E0
1.310685786E2,5.147809792E1,5.674786206E0,1.895087866E1,6.327027324E1,9.301834533E0,2.627519912E2,1.051680833E0,4.757116994E0,3.345799596E0,-1.000000000E0
1.320677139E2,5.147808678E1,5.674671071E0,1.800072712E1,6.232010670E1,8.456471538E0,2.615724011E2,1.059213948E0,4.755802790E0,3.347667375E0,-1.000000000E0
1.330676935E2,5.147806748E1,5.674566804E0,1.778803373E1,6.210742752E1,7.673657154E0,2.567287926E2,1.066471318E0,4.756429750E0,3.346776519E0,-1.000000000E0
1.340676868E2,5.147804478E1,5.674468554E0,1.887410772E1,6.319352850E1,7.270110298E0,2.532543067E2,1.071665608E0,4.760673216E0,3.340737578E0,-1.000000000E0
1.350676683E2,5.147802444E1,5.674401032E0,1.838065906E1,6.270011267E1,6.000510747E0,2.499244569E2,1.076063899E0,4.760120584E0,3.341524960E0,-1.000000000E0
1.360676479E2,5.147801095E1,5.674341331E0,1.820554395E1,6.252501305E1,5.102696283E0,2.502583745E2,1.077948571E0,4.770044187E0,3.327343608E0,-1.000000000E0
1.370676371E2,5.147800577E1,5.674315418E0,1.838197607E1,6.270144984E1,3.445115787E0,2.500564794E2,1.079239258E0,4.760011967E0,3.341679683E0,-1.000000000E0
1.380676124E2,5.147801022E1,5.674298208E0,1.828026343E1,6.259971651E1,2.192893974E0,2.586248731E2,1.080504102E0,4.756646401E0,3.346468593E0,-1.000000000E0
1.390675828E2,5.147801948E1,5.674287594E0,1.857101923E1,6.289043992E1,1.291367007E0,2.786382070E2,1.082088261E0,4.750959098E0,3.354537924E0,-1.000000000E0
1.400675671E2,5.147803328E1,5.674281904E0,1.867318480E1,6.299256149E1,1.142925207E0,3.071437029E2,1.085230294E0,4.751514982E0,3.353750499E0,-1.000000000E0
1.410675416E2,5.147805687E1,5.674256917E0,1.893832087E1,6.325761592E1,2.117979924E0,3.162853901E2,1.087758056E0,4.756662333E0,3.346445948E0,-1.000000000E0
1.420675184E2,5.147807858E1,5.674246109E0,1.924938738E1,6.356861241E1,1.920125400E0,3.267765566E2,"",4.755715403E0,3.347791517E0,-1.000000000E0
1.430675054E2,5.147809822E1,5.674231871E0,1.829969402E1,6.261885383E1,1.720237708E0,3.290091887E2,"",4.766009613E0,3.333120071E0,-1.000000000E0
