"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.089557250E0,-8.689889243E-1,2.240725543E0,-6.433130050E-1,2.487939777E0
2.099553250E0,-6.997862908E-1,1.562532435E0,-2.795863706E-1,1.734755603E0
2.109549250E0,-6.072511795E-1,9.443029623E-1,3.603820270E-1,1.179125644E0
2.119545250E0,-5.286912060E-1,4.592969622E-1,1.154343281E0,1.350176470E0
2.129541250E0,-4.246063820E-1,9.162097223E-2,1.928410553E0,1.976727660E0
2.139537250E0,-3.269254285E-1,-2.188418216E-1,2.636396102E0,2.665587437E0
2.149534250E0,-8.932352811E-2,-4.439125724E-1,3.084803283E0,3.117859579E0
2.159530250E0,3.712397218E-1,-5.367197620E-1,2.947089075E0,3.018479924E0
2.169526250E0,8.012845990E-1,-5.059562448E-1,2.101003987E0,2.304835457E0
2.179522250E0,1.180944896E0,-4.499482146E-1,8.160415095E-1,1.504329747E0
2.189518250E0,1.442522720E0,-4.493235858E-1,-7.386296368E-1,1.681766102E0
2.199515250E0,1.737022998E0,-5.077034659E-1,-2.232862793E0,2.874141256E0
2.209511250E0,1.961758101E0,-5.699258438E-1,-3.156208311E0,3.759649081E0
2.219507250E0,2.070213718E0,-6.610996503E-1,-3.415668565E0,4.048410717E0
2.229503250E0,2.117210129E0,-8.234089281E-1,-3.126476973E0,3.864639603E0
2.239499250E0,2.059801289E0,-1.098340257E0,-2.442393672E0,3.378523275E0
2.249495250E0,1.948534915E0,-1.549775273E0,-1.690372158E0,3.009310509E0
2.259492250E0,1.930583378E0,-2.157185935E0,-1.106966216E0,3.099351148E0
2.269488250E0,2.070502863E0,-2.872145897E0,-7.016769880E-1,3.609508935E0
2.279484250E0,2.245973420E0,-3.546392719E0,-5.685575223E-1,4.236101459E0
2.289480250E0,2.510467542E0,-4.005594152E0,-6.982598752E-1,4.778577052E0
2.299476250E0,2.796831420E0,-4.279374238E0,-1.062939021E0,5.221604085E0
2.309473250E0,3.048239766E0,-4.484367093E0,-1.648029546E0,5.667214067E0
2.319469250E0,3.280904862E0,-4.598762313E0,-2.245855891E0,6.079212137E0
2.329465250E0,3.342068200E0,-4.668645895E0,-2.750283490E0,6.366296696E0
2.339461250E0,3.246471486E0,-4.744915515E0,-3.048495582E0,6.507466916E0
2.349457250E0,2.964058864E0,-4.863095929E0,-2.907750177E0,6.394556909E0
2.359453250E0,2.540312608E0,-5.021627394E0,-2.124033830E0,6.015101790E0
2.369450250E0,2.230321885E0,-5.205394272E0,-1.078282700E0,5.764820797E0
2.379446250E0,2.218920107E0,-5.373098264E0,5.919428766E-2,5.813544131E0
2.389442250E0,2.374735248E0,-5.401880599E0,1.121695937E0,6.006486766E0
2.399438250E0,2.357818668E0,-5.240391612E0,1.826636256E0,6.029727451E0
2.409434250E0,2.173138455E0,-4.957792171E0,1.819482772E0,5.710757526E0
2.419431250E0,1.803986481E0,-4.717369866E0,1.409390641E0,5.243503377E0
2.429427250E0,1.122157575E0,-4.580041867E0,1.006164311E0,4.821658195E0
2.439423250E0,3.106426871E-1,-4.548348497E0,8.858186728E-1,4.644205814E0
2.449419250E0,-2.694566542E-1,-4.508914874E0,9.369186598E-1,4.613104899E0
2.459415250E0,-6.037168300E-1,-4.520320453E0,1.104016880E0,4.692187580E0
2.469411250E0,-8.629081124E-1,-4.546421254E0,1.391863028E0,4.832374087E0
2.479408250E0,-1.013506952E0,-4.502457209E0,1.697878228E0,4.917530655E0
2.489404250E0,-1.094522172E0,-4.141395151E0,2.156335019E0,4.795718225E0
2.499400250E0,-9.391938114E-1,-3.333739718E0,2.749804603E0,4.422367113E0
2.509396250E0,-7.991234681E-1,-2.233859304E0,3.307493321E0,4.070410026E0
2.519392250E0,-9.024572173E-1,-1.134336886E0,3.407134554E0,3.702663240E0
2.529388250E0,-1.084401518E0,-6.227518559E-2,2.949729093E0,3.143359122E0
2.539385250E0,-1.489828156E0,9.467976037E-1,2.270359817E0,2.875855931E0
2.549381250E0,-2.162489213E0,1.849390696E0,1.455323444E0,3.196024385E0
2.559377250E0,-2.892091334E0,2.522117534E0,6.353163528E-1,3.889588154E0
2.569373250E0,-3.530251188E0,2.833696945E0,-1.258700877E-1,4.528615142E0
2.579369250E0,-4.043494342E0,2.691143290E0,-8.051925856E-1,4.923457505E0
2.589365875E0,-4.152391132E0,2.299688281E0,-1.291543518E0,4.919248212E0
2.599361875E0,-3.802261029E0,1.885326075E0,-1.569099736E0,4.524789202E0
2.609357875E0,-3.264617443E0,1.437282737E0,-1.328531250E0,3.806376755E0
2.619353875E0,-2.809537127E0,1.007387914E0,-6.287739033E-1,3.050194404E0
2.629349875E0,-2.369161682E0,5.665978280E-1,4.336166489E-1,2.474264249E0
2.639345875E0,-2.026757796E0,1.481632187E-1,1.586820307E0,2.578313052E0
2.649342875E0,-1.763435164E0,-3.710595544E-2,2.149804264E0,2.780780250E0
2.659338875E0,-1.416530969E0,6.427760113E-2,1.729737368E0,2.236667824E0
2.669334875E0,-9.998221287E-1,4.695957363E-1,5.549247390E-1,1.236165810E0
2.679330875E0,-6.042571127E-1,9.246001844E-1,-9.210709512E-1,1.438187699E0
2.689326875E0,-3.569590670E-1,1.252798552E0,-2.322409977E0,2.662801549E0
2.699323875E0,-2.180365321E-1,1.462011928E0,-3.430740348E0,3.735638920E0
2.709319875E0,-1.325037539E-2,1.529885676E0,-4.227146323E0,4.495496834E0
2.719315875E0,3.635386464E-1,1.480156861E0,-4.737438680E0,4.976580144E0
2.729311875E0,8.221807936E-1,1.322232922E0,-4.919751356E0,5.160255280E0
2.739307875E0,1.172464679E0,1.107596838E0,-4.692922658E0,4.962355011E0
2.749303875E0,1.263155286E0,8.709717152E-1,-4.103890525E0,4.381332040E0
2.759300875E0,1.180995474E0,6.296448460E-1,-3.357706286E0,3.614608477E0
2.769296875E0,1.110222823E0,4.050631234E-1,-2.556918992E0,2.816825444E0
2.779292875E0,1.147422224E0,2.569759186E-1,-1.787760458E0,2.139790139E0
2.789288875E0,1.114323475E0,2.881129997E-1,-1.102812939E0,1.594027065E0
2.799284875E0,1.035791276E0,4.889478639E-1,-6.892773825E-1,1.336800991E0
2.809280875E0,1.021253051E0,8.707179460E-1,-5.219119442E-1,1.439965143E0
2.819277875E0,9.382389611E-1,1.332926310E0,-3.479005605E-1,1.666739241E0
2.829273875E0,6.115737337E-1,1.691138874E0,-1.641529781E-1,1.805801573E0
2.839269875E0,2.007065544E-1,1.912251480E0,-5.327281237E-2,1.923493394E0
2.849265875E0,-5.390840471E-2,1.975505782E0,1.147165239E-2,1.976274477E0
2.859261875E0,-7.406287998E-2,1.963861929E0,2.460584360E-1,1.980601863E0
2.869257875E0,-1.266922063E-1,1.927183953E0,9.340821755E-1,2.145366732E0
2.879254875E0,-3.625115830E-1,1.814774010E0,1.835312939E0,2.606375441E0
2.889250875E0,-6.225258610E-1,1.645660838E0,2.787318000E0,3.296191693E0
2.899246875E0,-8.842913800E-1,1.432104151E0,3.463427453E0,3.850743210E0
2.909242875E0,-1.089605833E0,1.177867433E0,3.702299076E0,4.035050311E0
2.919238875E0,-1.219867764E0,8.153404284E-1,3.670708909E0,3.953095151E0
2.929235875E0,-1.268209912E0,3.812380951E-1,3.464593388E0,3.709057321E0
2.939231875E0,-1.274374047E0,7.111589243E-3,3.257470976E0,3.497884639E0
2.949227875E0,-1.339101262E0,-3.103266451E-1,3.106470725E0,3.397006797E0
2.959223875E0,-1.375137945E0,-6.349039049E-1,3.032933802E0,3.390102474E0
2.969219875E0,-1.250852160E0,-9.096993593E-1,3.018009369E0,3.391248236E0
2.979215875E0,-9.743352851E-1,-9.834092136E-1,3.191647115E0,3.478941540E0
2.989212875E0,-6.956257045E-1,-6.799009337E-1,3.459839602E0,3.593974189E0
2.999208875E0,-5.617990181E-1,-1.839150321E-1,3.716189722E0,3.762912293E0
3.009204875E0,-4.422553253E-1,2.715520587E-1,3.588522785E0,3.625855219E0
3.019200875E0,-2.129626107E-1,5.459616883E-1,2.789105494E0,2.850006438E0
3.029196875E0,-2.510648221E-2,6.661982761E-1,1.723981953E0,1.848395048E0
3.039192875E0,4.315435186E-2,7.005981036E-1,6.669720089E-1,9.682725141E-1
3.049189875E0,1.082281610E-1,6.599584930E-1,-2.350452054E-1,7.088757267E-1
3.059185875E0,2.185597117E-1,5.000872483E-1,-7.690679026E-1,9.430381977E-1
3.069181875E0,2.961483166E-1,1.597408336E-1,-9.763832724E-1,1.032736779E0
3.079177875E0,2.990274855E-1,-3.142037876E-1,-8.526678836E-1,9.566524850E-1
3.089173875E0,2.469820037E-1,-7.520326245E-1,-5.714606649E-1,9.762788894E-1
3.099169875E0,2.923701382E-1,-1.020730602E0,-2.746045429E-1,1.096712777E0
3.109166875E0,3.572236535E-1,-1.125658887E0,6.909420848E-2,1.183000710E0
